last_name, first_name,player_id,year,player_age,b_home_run,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,
Cabrera, Miguel,408234,2022,39,3,.266,.396,.305,.310,.129,89.8,5.3,
Cruz Jr., Nelson,443558,2022,41,8,.265,.479,.353,.346,.214,90.8,7,
Blackmon, Charlie,453568,2022,35,14,.284,.458,.338,.333,.174,86.2,13.5,
McCutchen, Andrew,457705,2022,35,9,.272,.458,.338,.333,.186,89,12.1,
Turner, Justin,457759,2022,37,8,.263,.453,.341,.340,.190,89.1,19.2,
Andrus, Elvis,462101,2022,33,6,.234,.345,.286,.303,.111,88.1,14.1,
Gurriel, Yuli,493329,2022,38,7,.244,.358,.286,.295,.114,88,16.4,
Rojas, Miguel,500743,2022,33,6,.274,.379,.305,.320,.105,86.2,8.4,
Escobar, Eduardo,500871,2022,33,11,.239,.429,.309,.295,.190,88.4,21.3,
Pham, Tommy,502054,2022,34,11,.258,.450,.342,.345,.192,92.1,9.3,
Martinez, J.D.,502110,2022,34,9,.305,.564,.397,.374,.259,89.8,12.5,
Goldschmidt, Paul,502671,2022,34,20,.278,.536,.381,.368,.259,90.3,16,
Altuve, Jose,514888,2022,32,17,.272,.475,.365,.368,.203,86,16,
Hernandez, Cesar,514917,2022,32,0,.261,.365,.305,.323,.104,84.4,8.8,
Marte, Starling,516782,2022,33,9,.278,.444,.333,.330,.166,86.4,7.3,
Donaldson, Josh,518626,2022,36,9,.245,.454,.335,.328,.209,91.1,15.1,
Freeman, Freddie,518692,2022,32,13,.335,.631,.433,.413,.295,91.6,14,
LeMahieu, DJ,518934,2022,33,8,.303,.489,.387,.405,.185,89.1,3.3,
Rizzo, Anthony,519203,2022,32,22,.260,.535,.380,.374,.275,89.7,17.7,
Stanton, Giancarlo,519317,2022,32,24,.282,.592,.405,.367,.310,95.4,9.4,
Flores, Wilmer,527038,2022,30,13,.249,.430,.330,.333,.181,88.7,20.6,
Garcia, Avisail,541645,2022,31,6,.248,.417,.300,.285,.169,88.6,2.6,
Ozuna, Marcell,542303,2022,31,17,.272,.549,.367,.326,.277,89.8,15.5,
Aguilar, Jesus,542583,2022,32,11,.254,.437,.317,.303,.183,87.1,18.5,
Cron, C.J.,543068,2022,32,21,.264,.502,.352,.325,.238,88.2,14.2,
Hosmer, Eric,543333,2022,32,6,.265,.391,.311,.330,.127,88.4,3.3,
Semien, Marcus,543760,2022,31,13,.236,.412,.307,.299,.175,86.5,18.8,
Springer III, George,543807,2022,32,17,.264,.464,.347,.345,.201,88.8,14.4,
Grichuk, Randal,545341,2022,30,9,.237,.385,.284,.276,.148,89.1,7.7,
Trout, Mike,545361,2022,30,24,.275,.654,.419,.373,.379,92.5,24.5,
Abreu, Jose,547989,2022,35,11,.316,.574,.410,.398,.259,92.5,10,
Suarez, Eugenio,553993,2022,30,16,.231,.495,.354,.332,.264,88.5,18.3,
Urshela, Gio,570482,2022,30,8,.268,.468,.335,.317,.200,89.3,11.4,
Schoop, Jonathan,570731,2022,30,6,.252,.390,.292,.287,.138,87.7,9.1,
Arenado, Nolan,571448,2022,31,18,.274,.476,.350,.344,.202,88.3,23.3,
Farmer, Kyle,571657,2022,31,6,.289,.451,.350,.358,.162,85.4,11.6,
Muncy, Max,571970,2022,31,9,.203,.432,.349,.357,.228,88.6,21.2,
Voit III, Luke,572228,2022,31,12,.231,.496,.343,.319,.265,90.3,17.8,
Walker, Christian,572233,2022,31,22,.267,.576,.397,.374,.309,89.8,17.2,
Yastrzemski, Mike,573262,2022,31,9,.248,.458,.349,.347,.210,90.3,18.3,
Contreras, Willson,575929,2022,30,13,.273,.510,.384,.383,.237,91.1,9,
Iglesias, Jose,578428,2022,32,3,.270,.345,.288,.311,.075,84.6,6.9,
Canha, Mark,592192,2022,33,7,.255,.379,.328,.358,.124,87.9,9.8,
Castellanos, Nick,592206,2022,30,8,.262,.451,.324,.308,.190,88.2,13.8,
Drury, Brandon,592273,2022,29,18,.265,.495,.348,.325,.230,89.6,13.1,
Judge, Aaron,592450,2022,30,33,.311,.730,.453,.390,.419,95.5,13.1,
Machado, Manny,592518,2022,29,15,.283,.496,.363,.361,.213,90.8,14.8,
Realmuto, J.T.,592663,2022,31,8,.274,.449,.342,.344,.175,88.7,13.1,
Yelich, Christian,592885,2022,30,8,.275,.452,.354,.368,.177,91.1,4.9,
Merrifield, Whit,593160,2022,33,5,.274,.435,.329,.328,.162,87.2,15.5,
Bogaerts, Xander,593428,2022,29,7,.273,.424,.337,.353,.151,88.2,10,
Polanco, Jorge,593871,2022,28,14,.267,.521,.381,.374,.254,88.6,20.9,
Calhoun, Kole,594777,2022,34,11,.252,.475,.334,.306,.223,91,15.9,
Duvall, Adam,594807,2022,33,12,.220,.441,.310,.284,.221,88.2,23.7,
Profar, Jurickson,595777,2022,29,8,.264,.398,.339,.366,.135,87.4,14,
Baez, Javier,595879,2022,29,9,.231,.414,.291,.269,.184,87.5,7.8,
Lindor, Francisco,596019,2022,28,16,.264,.475,.347,.341,.211,89.3,14,
Story, Trevor,596115,2022,29,15,.227,.438,.313,.298,.211,88.8,19.6,
Kepler, Max,596146,2022,29,9,.298,.499,.382,.392,.201,89.5,12.2,
Franco, Maikel,596748,2022,29,8,.259,.403,.296,.288,.145,87.4,11.4,
Bell, Josh,605137,2022,29,13,.309,.499,.381,.391,.190,89.4,8.8,
Betts, Mookie,605141,2022,29,20,.267,.514,.362,.343,.247,89.8,18.2,
Marte, Ketel,606466,2022,28,8,.270,.429,.344,.363,.159,89.8,13.2,
Nimmo, Brandon,607043,2022,29,9,.281,.462,.359,.369,.181,90.3,5.3,
Turner, Trea,607208,2022,29,14,.309,.513,.375,.362,.204,90.1,8.9,
Ramirez, Jose,608070,2022,29,19,.271,.462,.346,.355,.190,88.2,21.9,
Bregman, Alex,608324,2022,28,11,.273,.476,.371,.386,.203,89.4,18.6,
Seager, Corey,608369,2022,28,22,.309,.609,.409,.378,.300,91.4,14.8,
Winker, Jesse,608385,2022,28,8,.266,.455,.357,.372,.188,87.5,16.7,
Swanson, Dansby,621020,2022,28,15,.284,.550,.376,.344,.266,89.9,16.3,
Correa, Carlos,621043,2022,27,11,.294,.539,.383,.367,.245,91,10,
Buxton, Byron,621439,2022,28,23,.251,.549,.366,.324,.298,92.7,20.5,
Ward, Taylor,621493,2022,28,12,.280,.540,.387,.376,.260,89.8,14.5,
Wisdom, Patrick,621550,2022,30,17,.207,.451,.322,.305,.244,92,20.8,
Olson, Matt,621566,2022,28,17,.260,.478,.349,.346,.219,92.4,15.4,
Mateo, Jorge,622761,2022,27,7,.233,.389,.290,.283,.157,86.6,14.8,
Santander, Anthony,623993,2022,27,15,.258,.483,.357,.347,.224,89.5,20.6,
Alonso, Pete,624413,2022,27,24,.270,.546,.372,.348,.276,89.9,18.4,
Frazier, Adam,624428,2022,30,3,.277,.372,.312,.336,.096,85.2,12.4,
Soler, Jorge,624585,2022,30,13,.241,.475,.341,.327,.234,91.2,13.8,
Cronenworth, Jake,630105,2022,28,9,.235,.402,.320,.331,.166,87.9,19,
Anderson, Tim,641313,2022,29,6,.322,.517,.373,.362,.195,88.2,3.2,
Bellinger, Cody,641355,2022,26,11,.229,.402,.297,.289,.173,89.9,20.9,
Crawford, J.P.,641487,2022,27,5,.279,.387,.331,.360,.108,84.5,11.2,
Dozier, Hunter,641531,2022,30,9,.271,.479,.346,.332,.208,89,14.5,
Mancini III, Trey,641820,2022,30,9,.291,.522,.376,.366,.231,89.4,13,
McMahon, Ryan,641857,2022,27,7,.255,.446,.344,.349,.191,91.5,11.9,
Tellez, Rowdy,642133,2022,27,18,.271,.555,.375,.345,.284,91.1,15.6,
Rosario, Amed,642708,2022,26,4,.291,.426,.326,.329,.135,88.8,4.7,
Adames, Willy,642715,2022,26,19,.253,.554,.367,.324,.301,89.4,19.9,
Estrada, Thairo,642731,2022,26,9,.262,.407,.314,.316,.145,86.6,6.3,
Benintendi, Andrew,643217,2022,27,3,.287,.440,.350,.362,.153,89.4,10.9,
Cooper, Garrett,643265,2022,31,7,.286,.496,.365,.356,.210,90.1,8.6,
Kemp, Tony,643393,2022,30,2,.203,.276,.254,.284,.074,84,16.6,
Kiner-Falefa, Isiah,643396,2022,27,0,.282,.363,.302,.330,.081,86.3,5.8,
McNeil, Jeff,643446,2022,30,4,.270,.387,.317,.336,.117,86.7,11.7,
Devers, Rafael,646240,2022,25,22,.314,.598,.402,.370,.285,93.5,11.2,
Arraez, Luis,650333,2022,25,5,.304,.472,.367,.382,.168,89.1,11.3,
Torres, Gleyber,650402,2022,25,14,.264,.511,.351,.322,.248,91,18.5,
Diaz, Yandy,650490,2022,30,3,.293,.420,.366,.407,.126,91.4,6,
Chapman, Matt,656305,2022,29,15,.260,.517,.367,.335,.257,92.7,21.4,
Hoskins, Rhys,656555,2022,29,19,.259,.527,.371,.351,.268,90.4,18.1,
Joe, Connor,656582,2022,29,5,.261,.384,.335,.368,.122,85.5,11.1,
Mullins II, Cedric,656775,2022,27,7,.253,.395,.311,.317,.142,88.5,19.2,
Schwarber, Kyle,656941,2022,29,29,.248,.632,.404,.352,.384,93,18.8,
Thomas, Lane,657041,2022,26,9,.227,.391,.294,.285,.164,86.4,13.2,
Verdugo, Alex,657077,2022,26,6,.308,.503,.358,.348,.196,88.9,7.2,
Ohtani, Shohei,660271,2022,27,19,.292,.622,.410,.378,.330,92.7,11.9,
Ruiz, Keibert,660688,2022,23,3,.288,.435,.338,.347,.147,87.8,14,
Sanchez, Jesus,660821,2022,24,11,.231,.416,.302,.288,.185,89.4,10.9,
Varsho, Daulton,662139,2022,25,12,.233,.452,.326,.304,.219,87.8,13.2,
Hoerner, Nico,663538,2022,25,5,.309,.440,.335,.347,.130,88.5,9.9,
Riley, Austin,663586,2022,25,27,.294,.622,.406,.356,.328,93.3,14.5,
Mountcastle, Ryan,663624,2022,25,14,.312,.579,.388,.349,.267,92.1,15.2,
Hayes, Ke'Bryan,663647,2022,25,4,.272,.419,.333,.345,.147,91.7,5.2,
Tucker, Kyle,663656,2022,25,18,.291,.573,.401,.381,.281,89.3,21.3,
Grisham, Trent,663757,2022,25,9,.220,.381,.307,.318,.161,86.4,13.5,
Rodgers, Brendan,663898,2022,25,9,.266,.457,.338,.325,.190,89.6,5.4,
Lowe, Nathaniel,663993,2022,26,12,.275,.456,.335,.328,.182,89.3,8.8,
Happ, Ian,664023,2022,27,9,.268,.457,.351,.361,.189,89.7,10.1,
France, Ty,664034,2022,27,11,.288,.462,.353,.359,.174,88.4,10,
Straw, Myles,664702,2022,27,0,.240,.317,.293,.331,.077,86.5,9.2,
Bohm, Alec,664761,2022,25,6,.304,.486,.354,.343,.181,90.1,10.3,
Brown, Seth,664913,2022,29,10,.272,.486,.342,.321,.214,89.3,14.7,
Walsh, Jared,665120,2022,28,13,.251,.439,.311,.293,.188,90.5,9.9,
Guerrero Jr., Vladimir,665489,2022,23,20,.297,.548,.386,.371,.252,92.9,5.3,
Soto, Juan,665742,2022,23,20,.290,.593,.431,.436,.303,90.3,7.6,
Lux, Gavin,666158,2022,24,4,.275,.443,.353,.360,.168,87.2,8.3,
Bichette, Bo,666182,2022,24,14,.282,.479,.342,.325,.196,91.3,8.5,
Carlson, Dylan,666185,2022,23,5,.255,.403,.318,.327,.148,85.5,11.7,
Garcia, Adolis,666969,2022,29,15,.263,.507,.341,.307,.244,91.9,14.2,
Gurriel Jr., Lourdes,666971,2022,28,5,.285,.454,.341,.339,.169,90.5,11.8,
Arozarena, Randy,668227,2022,27,12,.255,.429,.318,.315,.174,90.8,6.8,
Reynolds, Bryan,668804,2022,27,15,.263,.444,.340,.346,.181,88.8,10.4,
Marsh, Brandon,669016,2022,24,8,.221,.403,.293,.279,.182,88.9,10.7,
Murphy, Sean,669221,2022,27,9,.269,.482,.352,.337,.214,88.9,13.1,
Edman, Tommy,669242,2022,27,7,.277,.425,.331,.339,.147,88.5,8.7,
Smith, Will,669257,2022,27,14,.296,.574,.403,.386,.278,90.5,18.8,
Espinal, Santiago,669289,2022,27,6,.290,.410,.325,.339,.120,86.8,14.5,
Hays, Austin,669720,2022,26,12,.274,.467,.343,.331,.193,89.3,12.2,
Lopez, Nicky,670032,2022,27,0,.252,.336,.282,.305,.083,85,5.2,
Alvarez, Yordan,670541,2022,25,26,.350,.745,.485,.445,.395,96,12.6,
Kirk, Alejandro,672386,2022,23,11,.317,.548,.401,.398,.232,91.5,9.5,
Perdomo, Geraldo,672695,2022,22,2,.233,.321,.294,.330,.089,84.8,11.7,
Robert, Luis,673357,2022,24,12,.288,.496,.345,.322,.208,89.1,9.8,
Kim, Ha-Seong,673490,2022,26,5,.251,.400,.323,.339,.149,84.5,17.5,
Rodriguez, Julio,677594,2022,21,16,.270,.512,.359,.335,.242,92.1,10.1,
Witt Jr., Bobby,677951,2022,22,13,.265,.467,.330,.311,.202,90.8,16.7,
Torkelson, Spencer,679529,2022,22,5,.235,.392,.312,.319,.156,89.5,13.2,
Kwan, Steven,680757,2022,24,1,.262,.344,.311,.351,.082,85.1,10.1,
Miller, Owen,680911,2022,25,4,.254,.375,.304,.316,.122,86.9,9.4,
Vaughn, Andrew,683734,2022,24,10,.283,.477,.352,.339,.193,92,7.4,